
Label=V(VOUT) vs I(I1)
LabelX=I(I1)
LabelY=V(VOUT)
Data Point Count=201
I(I1),I(I1),V(VOUT)
 1.8999999999999958E-004, 1.8999999999999958E-004, 3.2698098251555532E+000
 1.9099999999999957E-004, 1.9099999999999957E-004, 3.2698096335176663E+000
 1.9199999999999957E-004, 1.9199999999999957E-004, 3.2698094501533328E+000
 1.9299999999999957E-004, 1.9299999999999957E-004, 3.2698092743113421E+000
 1.9399999999999957E-004, 1.9399999999999957E-004, 3.2698091055729877E+000
 1.9499999999999956E-004, 1.9499999999999956E-004, 3.2698089432908759E+000
 1.9599999999999956E-004, 1.9599999999999956E-004, 3.2698087870130705E+000
 1.9699999999999956E-004, 1.9699999999999956E-004, 3.2698086363712102E+000
 1.9799999999999955E-004, 1.9799999999999955E-004, 3.2698084909825647E+000
 1.9899999999999955E-004, 1.9899999999999955E-004, 3.2698083505313580E+000
 1.9999999999999955E-004, 1.9999999999999955E-004, 3.2698082146623544E+000
